"","symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","g","ENTREZID"
"1","A1BG",0.482585242701608,6.32213678359378,1.80899440643317,0.0814886570164546,0.332099308981691,-4.82853540972871,"stable","1"
"2","A1BG-AS1",-0.181592976383914,5.00384505404088,-0.421176530962444,0.676926881226457,0.865958339228988,-6.29399530637748,"stable","503538"
"3","A1CF",0.0135590936966832,6.06992643517068,0.0293643329481401,0.976787840253126,0.992377608651199,-6.38263661725052,"stable","29974"
"4","A2M",-0.551794053700359,9.42144978872754,-1.35666327778613,0.186012201977038,0.488399003259295,-5.48655066531612,"stable","2"
"5","A2M-AS1",0.00322835837513402,7.37012477117373,0.0205967926100876,0.983717245596346,0.994394281307829,-6.38285730515544,"stable","144571"
"6","A2ML1",0.240632586703222,5.35030767617102,0.502473363598546,0.619367697689228,0.834413155187695,-6.25646729873556,"stable","144568"
"7","A2MP1",-0.251189361835078,4.20428000591757,-0.445250623999888,0.659652636285167,0.856251449613063,-6.2835601989911,"stable","3"
"8","A4GALT",0.16530511957962,7.04042384956198,0.537854335387321,0.59503972941312,0.820307859315173,-6.23811010693116,"stable","53947"
"9","A4GNT",-0.449231812109791,5.44909733203825,-1.09033849390535,0.28510373947493,0.592058628013955,-5.79714711166379,"stable","51146"
"10","AA06",-0.439379472641834,6.42089350337012,-1.56233862374711,0.129738230043698,0.412654208747007,-5.20668970097285,"stable","100506677"
"11","AAAS",0.193137415787381,7.94324511938982,0.640746189780603,0.527035097357181,0.777197017110731,-6.17780765173574,"stable","8086"
"12","AACS",-0.235893906982966,10.3055337216383,-1.96157294292941,0.0600934552323691,0.286683576398522,-4.57307372286578,"stable","65985"
"13","AACSP1",-0.63033857625903,4.3318778703797,-1.24826884072913,0.222542578146658,0.530047181789654,-5.62023463874804,"stable","729522"
"14","AADAC",-0.158969699416289,9.60463075750041,-0.571816968581832,0.572129082926286,0.806797142625942,-6.21934035358759,"stable","13"
"15","AADACL2",-1.14811909418328,3.71863628008436,-1.71797232106931,0.097136508404083,0.360391818375199,-4.97325346969254,"stable","344752"
"16","AADACP1",-0.17246892541873,10.0636102536096,-0.92167741692834,0.364778446376927,0.657743989418748,-5.96179040693711,"stable","201651"
"17","AADAT",0.824942585914708,8.31802611925689,3.18050271270141,0.00364702326925482,0.0666820328161209,-2.06943433053087,"stable","51166"
"18","AAGAB",0.190941386616055,9.92560018147925,0.815358147456386,0.421930875777566,0.70289243236218,-6.05225361820233,"stable","79719"
"19","AAK1",-0.568165950434128,9.68065070979239,-5.93562084023269,2.41038359686971e-06,0.000584714216254604,4.83893574140742,"stable","22848"
"20","AAMDC",-0.243711713651537,9.95745183062247,-1.91007118375279,0.0666921972885759,0.303257414896391,-4.66105877729892,"stable","28971"
"21","AAMP",0.266732233420305,9.70101364674046,1.72494608011875,0.0958537386465061,0.35838036719392,-4.96237524796776,"stable","14"
"22","AANAT",-0.324614242073316,3.13949543054894,-0.712315605623254,0.482318966062955,0.748448249777251,-6.12984838836144,"stable","15"
"23","AAR2",0.142956137319233,9.87102134555253,1.2403361112162,0.225415894647431,0.533540708502307,-5.62963161917862,"stable","25980"
"24","AARS1",0.0340363287037029,11.0994315961242,0.235505784570262,0.815575598986922,0.930491073662129,-6.35515661569136,"stable","16"
"25","AARS2",0.238617318615876,8.82637131765796,1.97038845425716,0.0590230983053415,0.284775603011234,-4.55783812721613,"stable","57505"
"26","AASDH",-0.0949030998369267,9.53171522665172,-0.664827800752707,0.51174339910643,0.767780711410164,-6.16221783728064,"stable","132949"
"27","AASDHPPT",0.231004499712089,11.2562710317857,1.37206526542825,0.181223876455817,0.482680515437584,-5.46676671530563,"stable","60496"
"28","AASS",-0.066881246670409,6.731622121949,-0.229929349889789,0.819862435673315,0.931874381854631,-6.35646161138701,"stable","10157"
"29","AATBC",-0.307601773755044,7.84164479955249,-1.56106014645413,0.130039398433542,0.412984850657567,-5.20853181967876,"stable","284837"
"30","AATF",0.066271619014552,9.74417149414967,0.497502483297747,0.622822115794751,0.836120655065,-6.25894830503255,"stable","26574"
"31","AATK",-0.684694861307615,6.9727245881211,-2.72249677188044,0.0111575623917437,0.123192780948692,-3.09163619156236,"stable","9625"
"32","ABAT",0.318107194053342,11.292309145928,1.98667882352675,0.0570890573940307,0.280814403402863,-4.52955063354353,"stable","18"
"33","ABCA1",-0.327765079190124,8.44024738094361,-1.0743717719968,0.292069523788317,0.597309519191438,-5.81382370109125,"stable","19"
"34","ABCA11P",0.075144622430571,8.12234437580963,0.4708379552638,0.641500507134041,0.845824747655638,-6.27184317308755,"stable","79963"
"35","ABCA12",-1.09427603037435,5.04084458903931,-2.00305118718242,0.0552015632395376,0.276444995207705,-4.50094750531663,"stable","26154"
"36","ABCA13",0.644508102834164,12.359344357402,3.01851223114731,0.00545524730840557,0.0834310411407047,-2.43988041580708,"stable","154664"
"37","ABCA17P",-0.623833074732944,5.62915962900294,-1.74949223159069,0.0914519799722702,0.350840604299651,-4.92380751886792,"stable","650655"
"38","ABCA2",-0.177938112568706,8.72697616623146,-0.724506532916142,0.474924628453148,0.74260812462821,-6.12119179973011,"stable","20"
"39","ABCA3",-0.127823823772188,7.00688446026146,-0.317616088524348,0.753195111634049,0.902328954801282,-6.33234164806794,"stable","21"
"40","ABCA4",0.375317972116716,7.4899446741989,1.1140652254282,0.27497295282467,0.582384339271905,-5.77195068979968,"stable","24"
"41","ABCA5",-0.19081567508497,11.6564712900038,-0.881657312532753,0.385666354039446,0.676379845478712,-5.99706879553182,"stable","23461"
"42","ABCA6",-0.440471364335949,5.35463341738627,-1.08013436047816,0.289541684014348,0.595056507921124,-5.80783088395202,"stable","23460"
"43","ABCA7",0.0960738542715696,8.44429316279738,0.435203936914179,0.666839007504722,0.860664133504893,-6.28798452463221,"stable","10347"
"44","ABCA8",0.102912952559874,4.49688787520041,0.165908953275294,0.86945235396365,0.951403854590082,-6.36921007276975,"stable","10351"
"45","ABCA9",-0.401474291974681,6.68328404891896,-1.42952320450094,0.164209274168757,0.461029896429465,-5.39126169093516,"stable","10350"
"46","ABCB1",-1.56615040304065,4.85919976816507,-3.71733418680736,0.000919324248968996,0.0305397173280114,-0.787479910042848,"DOWN","5243"
"47","ABCB10",0.138517320746987,10.4745128704739,0.780211380919465,0.441985367377927,0.718370313737934,-6.07984501304013,"stable","23456"
"48","ABCB11",-0.93725917238841,5.65061183588588,-2.78887112823292,0.00952733434554489,0.112995593585422,-2.94858820970668,"stable","8647"
"49","ABCB4",-0.754028646593253,5.0058882235688,-1.86832130500216,0.072495156250962,0.315900276650654,-4.7310815929659,"stable","5244"
"50","ABCB5",-1.12861251904684,4.82599585690425,-1.8220038190683,0.0794385504182036,0.328232727039921,-4.80737380418008,"stable","340273"
"51","ABCB6",-0.864714658680386,9.57277883245107,-4.1779566453173,0.000271499702585095,0.0148153475011206,0.359434594213118,"stable","10058"
"52","ABCB7",0.288414558118646,8.98357503283935,2.43792889870183,0.0215613285162871,0.171226659880769,-3.68202936646906,"stable","22"
"53","ABCB8",-0.0679536322858212,8.06638187316928,-0.455130458605054,0.652617801912315,0.852583917809175,-6.27911235943052,"stable","11194"
"54","ABCB9",-0.0103356709135474,6.86542584480151,-0.0307057824678623,0.975727778074522,0.992183315762853,-6.38259601995516,"stable","23457"
"55","ABCC1",-0.578765717101414,10.7714056830505,-5.46765200897778,8.41547697414995e-06,0.00142734699703021,3.65226081145194,"stable","4363"
"56","ABCC10",-0.329855126643372,10.5238463104843,-2.33446021520342,0.0271768655785085,0.191865911911623,-3.88663740833046,"stable","89845"
"57","ABCC11",-0.868631630992682,4.65647757265083,-2.61899400709625,0.014229260180694,0.138780189756727,-3.31081787786032,"stable","85320"
"58","ABCC12",-0.349846726277345,4.28947787260826,-0.68757848236179,0.497524308389289,0.758998273352256,-6.14697891462355,"stable","94160"
"59","ABCC13",-0.361853701133742,5.64543059856542,-0.821616782978878,0.418419668108514,0.700623735137637,-6.04721903388123,"stable","150000"
"60","ABCC2",0.130535578475008,7.28231800750618,0.564884952413558,0.576769222193026,0.809673609675723,-6.22326253524444,"stable","1244"
"61","ABCC3",-1.01030364140246,8.94406872836302,-2.97089247105097,0.00613212935372197,0.0890246921206317,-2.54703240238123,"DOWN","8714"
"62","ABCC4",0.0961146004049134,9.50588204030799,0.513370665009325,0.611825884714017,0.829707788501473,-6.25094371497068,"stable","10257"
"63","ABCC5",-0.00646264490755044,11.123182010866,-0.0468686990390383,0.962959383617618,0.986748658874474,-6.38196434742284,"stable","10057"
"64","ABCC6",0.335073557985787,10.1390704231282,2.19065737378356,0.0371967391265372,0.226545062573376,-4.16119893590291,"stable","368"
"65","ABCC6P1",0.210847930117589,7.67851081948026,1.320564220278,0.197621434421171,0.503391741745355,-5.53215677051975,"stable","653190"
"66","ABCC8",-0.141847758074009,3.58994263830447,-0.374189938372738,0.711156453783311,0.882141777813299,-6.3127120317194,"stable","6833"
"67","ABCC9",-0.573806965861526,5.45228134496138,-1.22331205495523,0.231676431312364,0.539563674833885,-5.64961781782094,"stable","10060"
