"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CYP1B1",-6.49428283819549,9.38205442644406,-14.1375956658534,4.48991999716889e-14,9.36687109809375e-10,20.9448695591818
"AKR1B10",-5.12621779413561,10.2777486315262,-13.1419898848633,2.57148369757559e-13,2.6823146449411e-09,19.4754116918618
"UCHL1",-5.39696387272973,8.81356337095662,-12.8039806906277,4.75581687841704e-13,3.30719505725121e-09,18.9499526532763
"ME1",-2.25577185640335,10.7242083841097,-12.3065142736631,1.2013864872178e-12,6.26583122408443e-09,18.1508601359397
"NQO1",-2.16884953197093,13.5745007159002,-11.9369135704419,2.43343636958775e-12,1.01532699084679e-08,17.5366754688581
"GPX2",-2.87417373181044,11.0031824439685,-11.4059626190521,6.89022669699693e-12,2.39573182254583e-08,16.6227127334191
"MUCL1",-2.82009611287217,11.5573508014606,-11.2674253179953,9.08859415034235e-12,2.7086607309206e-08,16.3779448658515
"LINC01697",-3.50255367793424,7.57509866924755,-11.0842679782999,1.31522832443207e-11,3.42978666303774e-08,16.0502657363466
"ALDH3A1",-2.48046414159935,13.9710278842806,-10.0888452485406,1.05253505378932e-10,2.43977625468364e-07,14.1859882608826
"ADH7",-2.5344982989831,11.580589417018,-9.54470052328344,3.45823916777226e-10,6.77657375438053e-07,13.1054785588036
"NT5E",1.84656329271834,9.2413299705523,9.49675983831496,3.84739300456051e-10,6.77657375438053e-07,13.0081541788162
"AKR1C2",-1.78422697619938,13.7857325496759,-9.49090071692224,3.89794291307479e-10,6.77657375438053e-07,12.9962357895049
"CABYR",-2.89011446292016,8.40881742068703,-9.14725832807214,8.44759072969242e-10,1.35564336771418e-06,12.2881201522974
"MEP1A",-2.84562496724264,5.40523342385118,-9.10037515131485,9.39899141291419e-10,1.40058399183011e-06,12.1901222295617
"SLC7A11",-3.64648637933924,8.30092768752774,-8.9190770987304,1.42395279202723e-09,1.98043354315147e-06,11.8080147572448
"CX3CL1",1.9338566872286,9.54210442029397,8.78084446395651,1.96029437108489e-09,2.55597882309831e-06,11.5133097695178
"CYP1A1",-5.9553735847331,6.53343565948568,-8.56460389073162,3.24856290482875e-09,3.98655996003161e-06,11.0464620217529
"CLIP4",-1.75206785900095,10.6505294464786,-8.53710960449033,3.46558022444008e-09,4.01660748012606e-06,10.9865944922637
"TCN1",-2.47240044312155,9.1173122905217,-8.14430853072306,8.82556748790623e-09,9.69047310172104e-06,10.1188002392084
"TMEM45A",1.95610920169478,11.6612211571422,7.87658176735087,1.68841408322785e-08,1.76118473021497e-05,9.51406928222309
"AKR1C3",-1.5430686954929,13.2111038906551,-7.84285288936939,1.83340992376916e-08,1.82136180141296e-05,9.43713117335323
"PIR",-1.42449502498162,11.6135022922363,-7.71804803376589,2.49005885161094e-08,2.3612548982867e-05,9.15099278497026
"PLK2",1.55149763611395,8.70137162638654,7.59239270594432,3.39577935750727e-08,3.08011951983986e-05,8.860619017752
"GAD1",-3.52337078412668,7.25479493142057,-7.50090233145768,4.26170427655657e-08,3.7044864423968e-05,8.64776999660909
"NMRAL2P",-3.19857676744038,6.54743413310691,-7.44482499441766,4.90084252604277e-08,4.08965507113217e-05,8.5167202155428
"SRPX2",-1.74529564798825,8.61418146284622,-7.4075699329252,5.378766135969e-08,4.31583919725328e-05,8.42941197651563
"AKR1C1",-1.24139684437781,14.2427219459396,-7.3911829150524,5.60379124833914e-08,4.32986270455004e-05,8.39094689113404
"PHEX",-2.08453832407374,8.33933851694454,-7.36410447752938,5.99688455616447e-08,4.4681073432394e-05,8.32730367860443
"SRXN1",-1.32185390848315,10.0502562086514,-7.33944509038238,6.37930338419434e-08,4.58913886900215e-05,8.26925714432022
"CLDN10",-1.22146850024404,11.9875343664974,-7.32047015745423,6.69043059950761e-08,4.65252543889759e-05,8.22453394824246
"FAM166C",-1.12933268386908,9.11387243025872,-7.29411617567624,7.14840474615945e-08,4.81064580046382e-05,8.16233596577992
"SNRPF",1.02000854525611,10.4958237482885,7.22033764812485,8.60805845294891e-08,5.55509588054321e-05,7.98770345054295
"CYP4X1",1.12066494352713,12.2013118604776,7.21217614858706,8.78718071411782e-08,5.55509588054321e-05,7.96833960731825
"CDON",0.701741598210431,9.2946355734695,7.15300497560002,1.020471009321e-07,6.26149005778077e-05,7.82768085730848
"FAM210B",-0.719342193390728,12.0970471839274,-7.13363657858764,1.07176760466443e-07,6.38834736243125e-05,7.78153664759673
"GSEC",-2.72165663167032,6.70138216322,-7.10774630476601,1.14446683801146e-07,6.52174929533694e-05,7.71977585237913
"DTNA",-2.29452947839355,8.11218353886963,-7.10356479450143,1.15667109542454e-07,6.52174929533694e-05,7.70979252957521
"TALDO1",-0.955769287177024,13.932573284571,-7.05499766795789,1.30852188791988e-07,7.18378516468013e-05,7.59366856355939
"PER2",0.739739778704431,11.7704720262044,7.03762173461463,1.36765496173166e-07,7.31590200298613e-05,7.55204688811924
"SYNE3",1.1613757915036,9.30117784903625,7.02108696747276,1.42645189622262e-07,7.41014883386388e-05,7.51240321117986
"MED30",0.78899953708617,10.8038826026695,7.0129531561026,1.45631340326152e-07,7.41014883386388e-05,7.49288845852749
"MAOB",1.85780655882659,10.5573001748756,6.96859315713949,1.63074217056534e-07,8.10012932436528e-05,7.38630728539308
"GPAT3",-1.335131602522,9.40491840857302,-6.95434057596855,1.69118704557196e-07,8.20501026621449e-05,7.35200916027475
"TCF7L1",1.01067405593784,8.77591852017924,6.93030295122001,1.79834417344627e-07,8.52660366964454e-05,7.29410437709943
"GEM",1.63122523136403,7.96178400800346,6.9019492970674,1.93366710770479e-07,8.96448071131941e-05,7.22570717139251
"LTF",2.39080506777253,10.8161998637349,6.88263207047449,2.03175547221432e-07,9.21445275246417e-05,7.17904960830294
"PPP1R16B",1.98842741319534,8.1673382680077,6.84363957153763,2.24545969632618e-07,9.96697450739505e-05,7.08472544436365
"FHOD3",1.52130823686218,9.41413078838649,6.83033699136828,2.32348619258342e-07,0.000100984518645157,7.05250218733096
"EGF",-2.03132410417379,6.55721126911253,-6.80281730855002,2.49377347831275e-07,0.000106173678172572,6.98577003603056
"FKBP11",-0.750358327247886,11.6690022564254,-6.76009274152611,2.78367129503628e-07,0.000116145901114094,6.88198116162082
"CYP4F3",-1.81937823586052,8.16695824994909,-6.74810969651809,2.87097444236175e-07,0.000117439742777551,6.85283083543708
"GLI3",0.881423739461567,8.87277629748649,6.63481496383218,3.84737725828343e-07,0.000154353816081363,6.57636472247373
"DLL1",1.20672387967638,10.1382968263868,6.57420458681016,4.50220512181947e-07,0.000177216987266788,6.4278329655996
"IRX5",0.900048270744337,10.4987055909893,6.54568387910106,4.84846085082765e-07,0.000187312204203642,6.357791967927
"HTATIP2",-1.17975700201709,11.885903151147,-6.53365364600713,5.00251139411435e-07,0.000189749804916388,6.32822008264739
"TMEM150C",1.18138413807025,9.94655287507815,6.51537525163747,5.24614113433658e-07,0.000195437493472375,6.28325770662755
"TXNRD1",-1.14664306970527,12.9241898439142,-6.50847689947613,5.34118934899889e-07,0.000195487530173359,6.2662788026621
"SCD5",0.80768893120648,10.3174234768871,6.49687183207264,5.50505050563491e-07,0.000198010971807854,6.23770309291574
"FOXD3-AS1",-1.72368780081319,3.78094162441164,-6.47481657437164,5.83067018473597e-07,0.000206168544735528,6.18335350425114
"WNK4",1.6272600265917,7.37480367144185,6.42418607448468,6.65413349287507e-07,0.000231364221547266,6.05838210907969
"FZD8",0.913563471670221,8.93697813554834,6.39403026550423,7.19972780122774e-07,0.000246230690801989,5.98381433197212
"TKT",-1.18746859662284,11.7693601315827,-6.37054038605863,7.65600687742614e-07,0.000251552976334138,5.92566134624572
"CNGB1",-1.58580611807561,7.24136117027975,-6.36894329417856,7.68807447156871e-07,0.000251552976334138,5.92170533025476
"C3",2.17702167483629,12.7494923542557,6.36750408239067,7.7170887189075e-07,0.000251552976334138,5.91814015076467
"SLC2A1",-0.850960323050028,10.2383517326243,-6.34976552277248,8.08394979286894e-07,0.000259457477813587,5.87418044109468
"SPRR1B",-2.71582730405659,5.5098606074355,-6.30883126997059,8.99952096846087e-07,0.00028446667643035,5.77260984548053
"TMEM178A",1.31078373538508,11.0468262777496,6.29557521018441,9.31802327863913e-07,0.000290138211401447,5.7396797801512
"AKR1B1",-1.17522502955564,10.9406531298182,-6.28727640198056,9.52321114889514e-07,0.000292166516159192,5.71905499229101
"SLC6A6",-0.659540624854769,12.366137248069,-6.19874314701272,1.2019161044126e-06,0.000363396721308053,5.49858857892928
