,logFC,AveExpr,t,P.Value,adj.P.Val,B
SNTN,14.6702447882557,14.5943463444837,263.158216453367,5.599070646298e-48,1.16807811823069e-43,82.6282354319134
CAPN2,14.5849717273645,14.6160282201294,253.528713117755,1.54704183739981e-47,1.61371934059174e-43,82.370194526591
HMGB1,14.166454288861,14.1558409385117,246.664777373149,3.26942833188505e-47,2.27356046199287e-43,82.1707875537479
PPP2CB,14.0097972915707,13.9222279336282,238.744212812318,7.95955283513867e-47,4.15130478116657e-43,81.922939088019
RTN4,13.6774048504925,13.8085058449635,233.077548924212,1.53210238556884e-46,5.760756195761e-43,81.7328778042226
SUMO2,14.2103426840804,14.236221345616,231.532225764634,1.8367238463223e-46,5.760756195761e-43,81.6790777374951
CLTC,14.0258306716371,14.0848122592185,231.098912341162,1.93295433660852e-46,5.760756195761e-43,81.6638353418242
RPS27A,14.9357351435804,14.885796390883,228.652101190483,2.58367872695073e-46,5.95212367983655e-43,81.5764518787988
HNRNPA1,14.6556036350888,14.6459212470527,228.349004278154,2.67881333651123e-46,5.95212367983655e-43,81.5654697427049
CLIC6,14.1478482541993,13.9410761604259,227.821635121182,2.85309350965226e-46,5.95212367983655e-43,81.5462775136532
PLAC8,14.5364530953923,14.3883479281947,224.658166722618,4.17694932611455e-46,6.77022986851433e-43,81.4288707921764
DSTN,14.7147074704188,14.8207079005924,224.614881044452,4.19894750159044e-46,6.77022986851433e-43,81.4272367474803
PPP4R1,12.4334135096029,12.3548837952224,224.570071124871,4.2218468618356e-46,6.77022986851433e-43,81.4255443666685
CELF1,13.13750698342,13.0238419011569,223.069112572784,5.06867667059227e-46,6.77022986851433e-43,81.3683851635861
CD59,14.512355046017,14.4600972092327,222.445811387784,5.47041889035833e-46,6.77022986851433e-43,81.3443772806783
RPS6,14.9728302670279,14.9520353641607,222.242107819552,5.60875834412228e-46,6.77022986851433e-43,81.3364962637598
SRP14,13.7935393982275,13.8061232985708,222.214191954046,5.62799723730548e-46,6.77022986851433e-43,81.3354148916139
LDHB,14.2986820076603,14.341292430486,221.50450272873,6.14078060679878e-46,6.77022986851433e-43,81.307814432638
ANAPC5,12.8773906586716,12.775827219732,220.967505771333,6.56083172972964e-46,6.77022986851433e-43,81.2867894730412
RPS8,13.9906461162175,13.9163617916714,220.76427824083,6.72747410424182e-46,6.77022986851433e-43,81.2788007198532
CTNNA1,13.2998294499723,13.5117770878238,220.659600028546,6.81501424785739e-46,6.77022986851433e-43,81.2746790384758
MORF4L2,14.4436715589533,14.4409265069742,218.695188470036,8.69621594856266e-46,8.2463844144961e-43,81.1964587650087
KHDRBS1,12.9110747112322,12.8707714404572,217.848668892378,9.66591648658517e-46,8.7674065105713e-43,81.1622341034606
PTGES3,14.5286729334408,14.4994091322014,217.359262886925,1.02770470021311e-45,8.93332310660247e-43,81.1423031672744
EIF4G2,14.0464624981024,14.0862400978809,216.340483023682,1.16811590563002e-45,9.23568539445276e-43,81.1004707420075
ATP5F1A,14.1274732400466,14.1282069696809,216.287412720433,1.17595400387014e-45,9.23568539445276e-43,81.0982788211349
SPA17,13.4579571071614,13.6507101492511,216.157977785586,1.19530009419147e-45,9.23568539445276e-43,81.0929275331521
DYNLT1,14.5120254112521,14.5267372536985,215.467989291311,1.30414472844364e-45,9.68154363413522e-43,81.0642727195567
CD164,14.5365416338689,14.4017448022513,214.977097505573,1.38780067263301e-45,9.68154363413522e-43,81.0437539284167
CETN2,14.784395997869,14.8553809378801,214.758420702194,1.42683960747216e-45,9.68154363413522e-43,81.034577798465
